Local time,Open,High,Low,Close,Volume
25.07.2025 00:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 00:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 00:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 00:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 01:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 01:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 01:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 01:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 02:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 02:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 02:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 02:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 03:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 03:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 03:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 03:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 04:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 04:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 04:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 04:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 05:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 05:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 05:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 05:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 06:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 06:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 06:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 06:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 07:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 07:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 07:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 07:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 08:00:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 08:15:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 08:30:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 08:45:00.000 GMT+0200,29.152,29.152,29.152,29.152,0
25.07.2025 09:00:00.000 GMT+0200,28.926,29.066,28.814,28.912,2.28
25.07.2025 09:15:00.000 GMT+0200,28.917,28.929,28.812,28.854,1.56
25.07.2025 09:30:00.000 GMT+0200,28.869,29.113,28.842,29.075,1.75
25.07.2025 09:45:00.000 GMT+0200,29.079,29.167,29.054,29.122,1.56
25.07.2025 10:00:00.000 GMT+0200,29.127,29.254,29.104,29.204,1.49
25.07.2025 10:15:00.000 GMT+0200,29.183,29.227,29.114,29.212,1.56
25.07.2025 10:30:00.000 GMT+0200,29.217,29.232,29.129,29.199,1.76
25.07.2025 10:45:00.000 GMT+0200,29.189,29.259,29.172,29.225,1.28
25.07.2025 11:00:00.000 GMT+0200,29.247,29.283,29.202,29.277,0.8
25.07.2025 11:15:00.000 GMT+0200,29.297,29.326,29.203,29.325,0.98
25.07.2025 11:30:00.000 GMT+0200,29.313,29.384,29.283,29.295,1.08
25.07.2025 11:45:00.000 GMT+0200,29.306,29.379,29.294,29.367,1.21
25.07.2025 12:00:00.000 GMT+0200,29.366,29.407,29.272,29.277,0.87
25.07.2025 12:15:00.000 GMT+0200,29.264,29.285,29.202,29.224,0.88
25.07.2025 12:30:00.000 GMT+0200,29.235,29.235,29.125,29.125,0.82
25.07.2025 12:45:00.000 GMT+0200,29.142,29.209,29.114,29.155,0.88
25.07.2025 13:00:00.000 GMT+0200,29.162,29.175,29.092,29.134,0.91
25.07.2025 13:15:00.000 GMT+0200,29.145,29.145,29.025,29.056,0.91
25.07.2025 13:30:00.000 GMT+0200,29.054,29.092,29.012,29.069,1.11
25.07.2025 13:45:00.000 GMT+0200,29.076,29.079,29.033,29.073,0.66
25.07.2025 14:00:00.000 GMT+0200,29.055,29.086,29.022,29.026,0.64
25.07.2025 14:15:00.000 GMT+0200,29.044,29.049,28.975,29.009,0.5
25.07.2025 14:30:00.000 GMT+0200,29.027,29.049,28.984,29.043,0.85
25.07.2025 14:45:00.000 GMT+0200,29.024,29.079,29.014,29.053,0.95
25.07.2025 15:00:00.000 GMT+0200,29.059,29.089,28.984,29.057,2.39
25.07.2025 15:15:00.000 GMT+0200,29.057,29.142,29.032,29.133,1.37
25.07.2025 15:30:00.000 GMT+0200,29.145,29.189,29.083,29.132,1.47
25.07.2025 15:45:00.000 GMT+0200,29.119,29.125,28.954,28.997,1.5
25.07.2025 16:00:00.000 GMT+0200,28.999,29.039,28.927,28.987,1.31
25.07.2025 16:15:00.000 GMT+0200,28.975,29.002,28.935,28.984,0.97
25.07.2025 16:30:00.000 GMT+0200,28.972,29.099,28.972,29.056,1.66
25.07.2025 16:45:00.000 GMT+0200,29.043,29.114,29.039,29.062,1.21
25.07.2025 17:00:00.000 GMT+0200,29.075,29.187,29.052,29.154,1.16
25.07.2025 17:15:00.000 GMT+0200,29.166,29.199,29.142,29.187,1.08
25.07.2025 17:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 17:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 18:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 18:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 18:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 18:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0